                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3417,                 1.2658,                 1.5736,                0.65999,                0.68646,                0.72403,                0.45866,                 1.2356,                 1.2079,                 1.5021,               0.006733,               0.006733,               0.006733
                     36,                 1.3217,                 1.2577,                 1.5637,                0.70087,                0.67806,                0.74677,                0.46897,                 1.2391,                 1.1689,                 1.5018,               0.006634,               0.006634,               0.006634
                     37,                 1.3171,                 1.2302,                 1.5477,                0.69938,                0.67423,                0.73399,                0.47474,                 1.2364,                 1.1696,                 1.4967,               0.006535,               0.006535,               0.006535
                     38,                 1.3157,                 1.2268,                 1.5512,                0.70216,                0.70163,                0.76246,                  0.491,                 1.2064,                 1.1252,                 1.4876,               0.006436,               0.006436,               0.006436
                     39,                 1.3064,                 1.2211,                 1.5487,                 0.6945,                0.69723,                0.74701,                0.47693,                 1.2329,                 1.1336,                 1.4908,               0.006337,               0.006337,               0.006337
                     40,                  1.298,                  1.209,                 1.5474,                0.73556,                0.70021,                0.77376,                0.50633,                 1.1927,                 1.0892,                 1.4708,               0.006238,               0.006238,               0.006238
                     41,                 1.3006,                 1.1997,                 1.5495,                0.70309,                 0.7011,                0.75819,                 0.4902,                 1.2073,                 1.1338,                 1.4826,               0.006139,               0.006139,               0.006139
                     42,                 1.2805,                 1.1935,                 1.5303,                0.71097,                0.69944,                0.76504,                  0.501,                 1.2064,                  1.112,                 1.4727,                0.00604,                0.00604,                0.00604
                     43,                 1.2734,                 1.1765,                 1.5218,                0.72687,                0.70938,                0.78032,                0.51374,                 1.1727,                 1.0689,                 1.4538,               0.005941,               0.005941,               0.005941
                     44,                 1.2761,                 1.1672,                 1.5213,                0.71935,                 0.7035,                 0.7716,                0.50047,                 1.1839,                 1.1012,                 1.4721,               0.005842,               0.005842,               0.005842
                     45,                 1.2699,                 1.1695,                 1.5157,                0.72763,                0.72135,                0.78487,                0.51787,                 1.1633,                  1.053,                 1.4432,               0.005743,               0.005743,               0.005743
                     46,                  1.263,                 1.1511,                 1.5124,                0.72734,                0.71729,                0.78508,                0.51995,                 1.1594,                 1.0639,                 1.4491,               0.005644,               0.005644,               0.005644
                     47,                 1.2522,                  1.139,                 1.5072,                0.72956,                0.69542,                0.77631,                0.51425,                 1.1738,                 1.0828,                 1.4648,               0.005545,               0.005545,               0.005545
                     48,                 1.2552,                 1.1391,                 1.5092,                0.73032,                0.72586,                0.79547,                0.52832,                 1.1631,                 1.0461,                 1.4449,               0.005446,               0.005446,               0.005446
                     49,                 1.2463,                 1.1218,                 1.4978,                0.75954,                0.71444,                0.80251,                0.53757,                 1.1348,                 1.0173,                 1.4237,               0.005347,               0.005347,               0.005347
                     50,                 1.2329,                 1.1046,                 1.4843,                0.74875,                0.71535,                0.79647,                0.53486,                 1.1501,                 1.0232,                 1.4307,               0.005248,               0.005248,               0.005248
                     51,                  1.225,                 1.1006,                 1.4779,                0.75166,                0.73654,                0.80632,                0.54051,                 1.1336,                 1.0109,                 1.4181,               0.005149,               0.005149,               0.005149
                     52,                 1.2198,                 1.0909,                 1.4784,                0.74983,                0.72991,                0.79967,                0.54216,                 1.1386,                 1.0131,                 1.4303,                0.00505,                0.00505,                0.00505
                     53,                 1.2162,                  1.084,                 1.4693,                0.77374,                0.73128,                0.81727,                0.55751,                 1.1085,                0.98138,                 1.4111,               0.004951,               0.004951,               0.004951
                     54,                 1.2102,                 1.0755,                 1.4696,                0.76543,                0.74511,                 0.8151,                0.55698,                 1.1197,                0.97676,                 1.4162,               0.004852,               0.004852,               0.004852
                     55,                  1.207,                 1.0734,                 1.4705,                0.77864,                0.72536,                0.82079,                0.56342,                 1.1149,                0.97212,                 1.4051,               0.004753,               0.004753,               0.004753
                     56,                 1.2055,                  1.069,                 1.4713,                0.77438,                0.72932,                0.82048,                0.56521,                 1.1067,                0.95434,                  1.402,               0.004654,               0.004654,               0.004654
                     57,                 1.1966,                 1.0568,                 1.4648,                0.76885,                0.75639,                0.82863,                  0.573,                 1.1025,                0.94544,                 1.4005,               0.004555,               0.004555,               0.004555
                     58,                  1.194,                 1.0499,                 1.4611,                0.78945,                0.73813,                 0.8315,                0.56971,                 1.1042,                0.94615,                 1.4022,               0.004456,               0.004456,               0.004456
                     59,                 1.1853,                 1.0431,                 1.4536,                0.78331,                0.75565,                0.83563,                0.57696,                 1.0814,                0.93836,                 1.3786,               0.004357,               0.004357,               0.004357
                     60,                  1.185,                 1.0365,                 1.4506,                0.78555,                0.75569,                0.83351,                0.57716,                 1.0864,                0.94134,                 1.3897,               0.004258,               0.004258,               0.004258
                     61,                 1.1729,                 1.0253,                 1.4396,                0.76982,                0.77049,                0.83934,                0.58385,                 1.0847,                0.92806,                 1.3833,               0.004159,               0.004159,               0.004159
                     62,                 1.1662,                 1.0128,                  1.438,                 0.8097,                 0.7358,                0.83736,                0.58313,                 1.0872,                0.92272,                 1.3807,                0.00406,                0.00406,                0.00406
                     63,                 1.1667,                 1.0087,                 1.4377,                0.78991,                0.75036,                0.84246,                0.58752,                 1.0727,                0.91221,                 1.3784,               0.003961,               0.003961,               0.003961
                     64,                 1.1545,                0.99693,                 1.4349,                0.79486,                0.75587,                0.84067,                0.58988,                  1.071,                0.91049,                 1.3802,               0.003862,               0.003862,               0.003862
                     65,                 1.1517,                0.98227,                 1.4239,                0.80585,                0.76545,                0.84704,                 0.5927,                 1.0689,                0.90428,                 1.3812,               0.003763,               0.003763,               0.003763
                     66,                 1.1426,                0.97552,                  1.416,                0.82499,                0.74237,                  0.847,                 0.5965,                 1.0599,                0.90899,                 1.3741,               0.003664,               0.003664,               0.003664
                     67,                 1.1433,                0.98186,                 1.4201,                0.80153,                0.77022,                0.85221,                0.60335,                  1.051,                0.89003,                 1.3647,               0.003565,               0.003565,               0.003565
                     68,                 1.1431,                 0.9713,                 1.4138,                0.82235,                0.76793,                0.85745,                0.60786,                 1.0459,                0.87561,                 1.3593,               0.003466,               0.003466,               0.003466
                     69,                 1.1297,                0.94854,                 1.4057,                0.79656,                0.79991,                0.86852,                0.62112,                 1.0229,                0.85338,                 1.3446,               0.003367,               0.003367,               0.003367
                     70,                 1.1232,                0.95607,                 1.4004,                0.80897,                0.76945,                0.85663,                 0.6122,                 1.0351,                0.87778,                 1.3505,               0.003268,               0.003268,               0.003268
                     71,                 1.1194,                0.94979,                 1.4047,                0.80841,                 0.7752,                0.85823,                0.61162,                 1.0435,                0.86933,                 1.3617,               0.003169,               0.003169,               0.003169
                     72,                 1.1175,                 0.9422,                 1.4009,                0.82449,                0.77116,                0.85882,                0.61305,                 1.0389,                0.85913,                 1.3591,                0.00307,                0.00307,                0.00307
                     73,                 1.1057,                0.92756,                 1.3868,                0.81768,                0.79137,                0.86035,                0.61799,                 1.0281,                0.85306,                 1.3476,               0.002971,               0.002971,               0.002971
                     74,                 1.0992,                0.91722,                 1.3818,                0.81823,                 0.7806,                0.86111,                0.61959,                 1.0258,                0.85315,                   1.35,               0.002872,               0.002872,               0.002872
                     75,                 1.0958,                0.91686,                 1.3777,                0.82143,                0.79153,                0.86967,                0.62807,                 1.0171,                0.83619,                 1.3437,               0.002773,               0.002773,               0.002773
                     76,                  1.092,                0.91533,                 1.3776,                 0.8274,                0.78205,                0.86669,                  0.626,                 1.0216,                0.84452,                 1.3486,               0.002674,               0.002674,               0.002674
                     77,                 1.0871,                0.89728,                 1.3795,                0.82248,                0.78987,                0.86595,                0.62604,                 1.0158,                0.83718,                 1.3412,               0.002575,               0.002575,               0.002575
                     78,                 1.0758,                0.88956,                 1.3711,                0.83763,                0.79009,                0.87535,                0.63232,                 1.0106,                0.82028,                 1.3379,               0.002476,               0.002476,               0.002476
                     79,                 1.0751,                0.89514,                 1.3706,                0.82866,                0.80524,                0.87858,                0.64001,                0.99622,                0.80703,                 1.3289,               0.002377,               0.002377,               0.002377
                     80,                 1.0707,                0.88329,                 1.3611,                0.84106,                0.78372,                0.87598,                 0.6383,                  1.001,                0.81979,                 1.3288,               0.002278,               0.002278,               0.002278
                     81,                 1.0677,                0.88036,                 1.3527,                0.84674,                0.78918,                0.87746,                0.63808,                 1.0003,                0.81158,                 1.3288,               0.002179,               0.002179,               0.002179
                     82,                 1.0679,                0.87203,                 1.3617,                0.83546,                0.79319,                0.87744,                0.63801,                 1.0033,                0.81471,                 1.3311,                0.00208,                0.00208,                0.00208
                     83,                  1.055,                0.86212,                 1.3526,                0.84463,                0.79773,                0.88155,                0.64405,                0.99259,                0.80495,                 1.3211,               0.001981,               0.001981,               0.001981
                     84,                 1.0541,                 0.8677,                 1.3524,                0.85953,                0.79297,                0.88429,                0.65217,                0.98331,                0.79566,                 1.3191,               0.001882,               0.001882,               0.001882
                     85,                 1.0459,                0.85426,                 1.3462,                 0.8597,                0.79773,                0.88831,                0.65077,                0.98861,                0.79126,                 1.3217,               0.001783,               0.001783,               0.001783
                     86,                 1.0398,                 0.8454,                 1.3359,                0.84203,                0.80149,                 0.8847,                0.65405,                 0.9846,                0.79268,                 1.3208,               0.001684,               0.001684,               0.001684
                     87,                  1.037,                 0.8472,                 1.3373,                0.86252,                0.78511,                0.88568,                0.65223,                0.98109,                0.78896,                 1.3178,               0.001585,               0.001585,               0.001585
