                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4114,                 1.3687,                 1.5379,                 0.6758,                0.63969,                0.69909,                0.43786,                 1.2627,                 1.2571,                 1.4037,               0.006733,               0.006733,               0.006733
                     36,                 1.4015,                 1.3663,                 1.5361,                0.64452,                0.66174,                0.70492,                0.43424,                 1.2875,                 1.2616,                  1.423,               0.006634,               0.006634,               0.006634
                     37,                 1.3937,                 1.3393,                 1.5262,                0.65938,                0.65449,                0.70916,                 0.4431,                 1.2689,                 1.2264,                  1.417,               0.006535,               0.006535,               0.006535
                     38,                 1.3942,                 1.3373,                 1.5232,                0.67171,                0.66464,                0.70913,                0.44755,                 1.2673,                 1.2277,                 1.4152,               0.006436,               0.006436,               0.006436
                     39,                 1.3864,                 1.3295,                 1.5191,                0.67449,                0.66058,                0.71802,                0.44942,                 1.2748,                 1.2016,                 1.4134,               0.006337,               0.006337,               0.006337
                     40,                 1.3795,                 1.3298,                 1.5177,                 0.6737,                0.67229,                0.72647,                0.45972,                   1.25,                 1.1961,                 1.3988,               0.006238,               0.006238,               0.006238
                     41,                 1.3767,                 1.3162,                 1.5139,                0.68064,                0.66488,                0.72243,                0.45308,                 1.2594,                 1.2087,                  1.399,               0.006139,               0.006139,               0.006139
                     42,                 1.3638,                  1.311,                 1.5025,                0.68437,                0.66281,                0.72209,                  0.458,                 1.2512,                 1.1967,                 1.4004,                0.00604,                0.00604,                0.00604
                     43,                 1.3589,                 1.2979,                 1.4998,                0.67726,                 0.6877,                0.72961,                0.46016,                   1.25,                 1.1736,                  1.399,               0.005941,               0.005941,               0.005941
                     44,                 1.3581,                 1.2904,                  1.492,                0.68188,                0.67494,                0.74083,                0.47533,                 1.2238,                 1.1598,                 1.3773,               0.005842,               0.005842,               0.005842
                     45,                 1.3564,                 1.2864,                 1.4924,                0.67206,                0.68996,                0.73666,                0.46702,                 1.2404,                 1.1712,                 1.3851,               0.005743,               0.005743,               0.005743
                     46,                 1.3492,                 1.2681,                 1.4875,                 0.6952,                0.68096,                0.74092,                0.47517,                  1.235,                  1.157,                 1.3813,               0.005644,               0.005644,               0.005644
                     47,                 1.3376,                  1.264,                 1.4783,                0.69471,                0.69254,                0.74625,                0.47976,                 1.2234,                 1.1503,                 1.3768,               0.005545,               0.005545,               0.005545
                     48,                 1.3431,                 1.2665,                 1.4811,                0.68065,                0.70252,                0.74377,                0.47061,                 1.2327,                 1.1511,                 1.3839,               0.005446,               0.005446,               0.005446
                     49,                 1.3368,                 1.2488,                 1.4769,                 0.7124,                0.67659,                0.74981,                0.48545,                 1.1966,                  1.118,                 1.3568,               0.005347,               0.005347,               0.005347
                     50,                 1.3275,                 1.2366,                 1.4601,                0.71152,                0.68443,                0.75229,                0.48682,                  1.216,                 1.1121,                 1.3655,               0.005248,               0.005248,               0.005248
                     51,                 1.3183,                 1.2284,                 1.4555,                0.69957,                0.70186,                0.75617,                0.49641,                  1.196,                 1.1043,                 1.3495,               0.005149,               0.005149,               0.005149
                     52,                 1.3061,                 1.2137,                 1.4529,                0.69748,                0.69911,                 0.7618,                0.49608,                  1.195,                 1.1006,                 1.3565,                0.00505,                0.00505,                0.00505
                     53,                 1.3126,                 1.2167,                 1.4533,                 0.7065,                 0.7111,                0.77055,                0.50413,                 1.1989,                 1.0815,                 1.3494,               0.004951,               0.004951,               0.004951
                     54,                 1.3056,                 1.2148,                 1.4502,                0.68762,                0.73277,                0.76973,                0.50578,                 1.1764,                 1.0729,                 1.3383,               0.004852,               0.004852,               0.004852
                     55,                 1.3035,                 1.2078,                 1.4494,                0.72186,                0.70949,                0.77803,                0.51362,                 1.1655,                 1.0625,                 1.3266,               0.004753,               0.004753,               0.004753
                     56,                 1.3039,                 1.2044,                  1.445,                0.71161,                0.70951,                0.77503,                0.50981,                 1.1701,                 1.0722,                 1.3256,               0.004654,               0.004654,               0.004654
