                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3811,                 1.3312,                 1.5533,                0.66262,                0.65371,                0.70621,                0.44017,                 1.2748,                 1.2658,                 1.4638,               0.006733,               0.006733,               0.006733
                     36,                 1.3644,                 1.3262,                 1.5455,                 0.6965,                0.65891,                0.72903,                0.44946,                 1.2894,                 1.2398,                 1.4697,               0.006634,               0.006634,               0.006634
                     37,                  1.356,                  1.299,                 1.5323,                0.68159,                0.66563,                0.72645,                0.45484,                 1.2655,                 1.2087,                 1.4578,               0.006535,               0.006535,               0.006535
                     38,                 1.3536,                 1.2991,                 1.5302,                0.66265,                0.68186,                0.72932,                 0.4626,                 1.2355,                 1.1953,                  1.428,               0.006436,               0.006436,               0.006436
                     39,                 1.3478,                 1.2853,                 1.5253,                0.66957,                 0.6839,                0.72901,                  0.459,                  1.255,                 1.1964,                 1.4383,               0.006337,               0.006337,               0.006337
                     40,                 1.3372,                 1.2915,                  1.526,                0.69918,                0.65614,                0.72837,                0.46185,                 1.2444,                 1.2053,                 1.4458,               0.006238,               0.006238,               0.006238
                     41,                   1.34,                 1.2691,                 1.5245,                0.69937,                 0.6674,                0.74192,                0.47017,                 1.2436,                 1.1577,                 1.4349,               0.006139,               0.006139,               0.006139
                     42,                 1.3197,                 1.2638,                 1.5037,                0.68445,                0.67543,                0.73011,                 0.4639,                 1.2572,                 1.2012,                 1.4478,                0.00604,                0.00604,                0.00604
                     43,                 1.3207,                 1.2482,                 1.5093,                0.71077,                0.69114,                0.75834,                0.48709,                 1.2028,                 1.1243,                 1.4058,               0.005941,               0.005941,               0.005941
                     44,                 1.3223,                 1.2443,                  1.504,                0.68451,                0.69704,                0.75748,                 0.4815,                  1.232,                 1.1473,                 1.4213,               0.005842,               0.005842,               0.005842
                     45,                 1.3166,                 1.2409,                  1.494,                0.71574,                0.68884,                0.75478,                 0.4909,                 1.2162,                  1.127,                  1.411,               0.005743,               0.005743,               0.005743
                     46,                 1.3066,                  1.226,                 1.4895,                0.70732,                0.68796,                0.73998,                0.47627,                 1.2182,                 1.1734,                 1.4119,               0.005644,               0.005644,               0.005644
                     47,                 1.2992,                 1.2107,                 1.4869,                0.73527,                0.69429,                0.76682,                0.49717,                  1.193,                 1.0979,                 1.3971,               0.005545,               0.005545,               0.005545
                     48,                 1.3054,                 1.2083,                 1.4885,                0.71679,                0.69702,                0.76289,                 0.4935,                 1.2153,                 1.0979,                 1.4014,               0.005446,               0.005446,               0.005446
                     49,                  1.293,                 1.1973,                 1.4814,                0.71814,                0.69849,                  0.761,                0.49116,                 1.2097,                 1.1159,                 1.4044,               0.005347,               0.005347,               0.005347
                     50,                 1.2794,                 1.1777,                 1.4603,                 0.7203,                0.71386,                 0.7815,                0.51371,                 1.1884,                 1.0653,                 1.3829,               0.005248,               0.005248,               0.005248
